spk_id,log_f0_rmse,stft_l2_dist,vuv_error
7783,0.098,0.878,9
7789,0.094,0.875,9
7794,0.084,0.874,9
7800,0.088,0.883,7
7802,0.093,0.916,11
7809,0.069,0.852,14
7816,0.116,0.888,9
7825,0.108,0.824,10
7828,0.074,0.895,13
7832,0.119,0.826,13
7833,0.101,0.871,17
7837,0.111,0.887,10
7850,0.093,0.882,10
7859,0.083,0.857,7
7867,0.081,0.865,13
7868,0.073,0.875,9
7874,0.11,0.858,11
7881,0.124,0.846,14
7909,0.111,0.799,10
7910,0.077,0.889,8
7926,0.096,0.812,11
7932,0.08,0.942,9
7933,0.095,0.833,11
7938,0.079,0.865,10
7939,0.075,0.813,12
7945,0.097,0.856,9
7949,0.073,0.899,17
7956,0.09,0.849,9
7957,0.076,0.864,8
7959,0.109,0.899,10
7962,0.091,0.899,9
7967,0.109,0.932,10
7976,0.092,0.876,9
7981,0.078,0.811,11
7982,0.068,0.857,9
7991,0.125,0.798,11
7994,0.097,0.844,9
7995,0.101,0.915,10
8006,0.106,0.828,11
8008,0.084,0.833,12
8011,0.084,0.839,11
8014,0.078,0.926,9
8028,0.083,0.825,12
8050,0.077,0.894,12
8051,0.093,0.879,7
8057,0.087,0.869,9
8063,0.089,0.857,12
8066,0.138,0.852,10
8075,0.076,0.865,8
8080,0.089,0.906,8
8088,0.127,0.848,10
8095,0.092,0.823,11
8097,0.094,0.857,10
8098,0.069,0.819,9
8108,0.126,0.827,11
8113,0.083,0.921,8
8118,0.079,0.877,9
8119,0.124,0.827,10
8123,0.073,0.857,8
8138,0.07,0.852,13
8142,0.075,0.809,11
8152,0.106,0.822,10
8163,0.091,0.905,9
8176,0.121,0.86,10
8183,0.089,0.833,7
8190,0.096,0.883,8
8193,0.086,0.821,9
8194,0.088,0.896,9
8195,0.082,0.842,9
8222,0.103,0.828,11
8224,0.082,0.85,13
8225,0.055,0.813,10
8226,0.087,0.86,9
8228,0.075,0.887,8
8230,0.076,0.813,12
8238,0.073,0.859,10
8266,0.088,0.818,8
8297,0.082,0.877,14
8300,0.076,0.872,9
8312,0.083,0.93,8
8324,0.088,0.86,9
8329,0.091,0.882,8
8347,0.142,0.853,12
8388,0.082,0.834,8
8396,0.082,0.847,7
8401,0.087,0.845,13
8404,0.087,0.986,10
8410,0.156,0.951,14
8419,0.084,0.853,10
8421,0.114,1.144,22
8425,0.078,0.833,8
8455,0.101,0.901,12
8459,0.082,0.827,9
8463,0.083,0.821,8
8464,0.117,0.828,9
8465,0.074,0.874,9
8468,0.077,0.856,7
8474,0.117,0.82,10
8479,0.087,0.852,10
8490,0.068,0.915,10
8494,0.065,0.906,15
8498,0.112,0.882,10
8506,0.098,0.962,9
8527,0.082,0.818,11
8534,0.073,0.813,8
8545,0.087,0.907,10
8555,0.082,0.891,7
8573,0.092,0.874,7
8575,0.105,0.886,8
8580,0.093,0.845,11
8591,0.093,0.822,9
8592,0.073,0.818,9
8605,0.084,0.865,9
8609,0.088,1.229,11
8619,0.114,0.827,10
8629,0.123,0.857,10
8630,0.111,0.862,11
8635,0.072,0.8,9
8643,0.143,0.872,10
8677,0.101,0.879,9
8684,0.091,0.873,9
8687,0.092,0.866,11
8699,0.091,0.917,10
8705,0.075,0.81,10
8713,0.081,0.796,9
8718,0.117,0.891,11
8722,0.087,0.904,10
8725,0.119,0.81,10
8742,0.136,0.83,10
8747,0.147,0.841,10
8758,0.081,0.835,11
8770,0.066,0.808,9
8771,0.082,0.976,7
8772,0.125,0.799,11
8776,0.1,0.914,8
8786,0.08,0.798,8
8791,0.134,0.85,12
8797,0.125,0.857,10
8820,0.073,0.793,8
8824,0.075,0.844,10
8825,0.067,0.894,8
8838,0.074,0.818,8
8842,0.077,0.878,10
8848,0.06,0.884,14
8855,0.078,0.877,12
8875,0.111,0.826,8
8879,0.072,0.844,12
8887,0.069,0.852,9
8975,0.111,0.899,10
9022,0.1,0.857,11
9023,0.082,0.864,8
9026,0.096,0.91,9
