spk_id,log_f0_rmse,stft_l2_dist,vuv_error
1050,0.101,0.849,9
1052,0.101,0.92,9
1053,0.089,0.871,8
1054,0.107,0.915,10
1058,0.121,0.88,12
1060,0.087,0.925,8
1061,0.101,0.877,9
1066,0.083,0.898,9
1069,0.095,0.9,9
1079,0.123,0.867,11
1081,0.069,1.043,14
1088,0.083,0.906,9
1089,0.1,0.809,10
1093,0.097,0.946,10
1098,0.107,0.849,10
1100,0.076,1.002,10
1112,0.131,0.871,8
1116,0.099,0.842,8
1121,0.194,0.856,10
1160,0.162,0.807,9
1165,0.193,0.839,9
1175,0.136,0.813,6
1182,0.121,0.842,11
1183,0.092,0.955,11
1188,0.132,0.84,13
1195,0.08,0.817,7
1212,0.084,0.878,8
1221,0.101,0.959,10
1222,0.135,0.804,10
1224,0.089,0.978,11
1226,0.102,0.809,10
1235,0.11,0.809,10
1241,0.142,0.876,10
1246,0.088,0.852,8
1259,0.19,0.938,14
1263,0.168,0.848,9
1264,0.11,0.843,10
1265,0.073,0.868,9
1271,0.149,0.873,13
1272,0.117,0.849,12
1283,0.128,0.867,9
1284,0.088,0.854,7
1289,0.074,0.841,10
1290,0.075,0.964,10
1296,0.171,0.995,14
1311,0.143,0.861,11
1313,0.17,0.865,8
1316,0.107,0.841,12
1320,0.109,0.828,12
1322,0.107,0.841,11
1323,0.116,0.833,7
1334,0.117,0.876,11
1335,0.083,0.955,7
1336,0.146,0.839,10
1337,0.082,0.846,9
1343,0.141,0.888,12
1348,0.153,0.894,10
1349,0.132,0.852,11
1355,0.089,0.792,7
1363,0.089,0.826,9
1365,0.151,0.851,11
1379,0.11,0.925,8
1382,0.046,0.93,9
1383,0.078,0.89,13
1387,0.119,0.837,10
1390,0.096,0.916,10
1392,0.153,0.846,12
1401,0.13,0.891,12
1413,0.122,0.815,10
1417,0.143,0.941,12
1422,0.097,0.884,9
1425,0.168,0.996,10
1445,0.149,0.849,14
1446,0.173,0.821,7
1447,0.124,0.836,8
1448,0.088,0.909,9
1455,0.159,0.914,14
1460,0.089,0.889,12
1462,0.101,0.89,7
1463,0.131,0.849,8
1472,0.149,0.979,14
1473,0.106,0.837,12
1482,0.109,0.836,10
1487,0.117,0.847,10
1498,0.083,0.898,9
1502,0.095,0.839,8
1509,0.088,0.894,8
1513,0.14,0.858,10
1535,0.103,0.849,11
1536,0.083,0.886,11
1547,0.071,0.899,9
1552,0.133,0.898,14
1553,0.097,0.864,8
1556,0.08,0.83,9
1571,0.126,0.819,10
1578,0.079,0.865,8
1580,0.09,0.891,9
1594,0.125,0.798,11
1603,0.127,0.822,11
1607,0.108,0.818,10
1624,0.145,0.845,11
1629,0.106,0.87,10
1638,0.095,0.857,9
1639,0.125,0.824,11
1641,0.079,0.922,10
